NDCG@10,AP@10,TopKAgreement@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,AP@25,TopKAgreement@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,AP@50,TopKAgreement@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,AP@100,TopKAgreement@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy,Dataset,Protocol,Method,Seed,Stations,NDCG_at_10_percent,TopKAgreement_at_10_percent,Regret_at_10_percent
0.5176451225282075,0.0,0.0,0.0,0.0,0.0,0.0,0.4809999853372574,0.5246550727373952,0.0,0.0,0.0,0.0,0.0,0.0,0.4437333276867867,0.5468323745664301,0.0,0.0,0.0,0.0,0.0,0.0,0.40142221882939344,0.5741069604931481,0.001264693993047134,0.04,0.001264693993047134,0.04,1.0,0.04,0.3535555528104305,0.9190863330438475,0.5761585034867333,0.039603960396039604,0.027137350232954095,0.017714042039139333,0.5112,Source_MAIN,operator-disjoint internal,PRIME_CommonCore_Full,42,1002,0.5761585034867333,0.039603960396039604,0.35086908420123675
0.5445572942716056,0.025,0.1,0.025,0.1,1.0,0.1,0.4192222148180008,0.5219671379800934,0.01,0.04,0.01,0.04,1.0,0.04,0.44088888585567476,0.5609993151429895,0.007761904761904761,0.06,0.007761904761904761,0.06,1.0,0.06,0.38095555692911154,0.5514790313043347,0.005756613756613757,0.05,0.005756613756613757,0.05,1.0,0.05,0.3803111105412244,0.9171473530732847,0.5515780396334473,0.04950495049504951,-0.012874884415200369,-0.009327044658055379,0.5023,Source_MAIN,operator-disjoint internal,PRIME_NoDirectFusion,42,1002,0.5515780396334473,0.04950495049504951,0.3799229918582605
0.5172908318812153,0.0,0.0,0.0,0.0,0.0,0.0,0.4809999853372574,0.5222073369337524,0.0,0.0,0.0,0.0,0.0,0.0,0.4472444370388985,0.5471042438851407,0.0,0.0,0.0,0.0,0.0,0.0,0.40142221882939344,0.5737552779800651,0.001763465561022528,0.05,0.001763465561022528,0.05,1.0,0.05,0.35417777523398397,0.919161102977356,0.5754490791178343,0.04950495049504951,0.027519778791478943,0.018041303827403255,0.51125,Source_MAIN,operator-disjoint internal,PRIME_DirectOnly,42,1002,0.5754490791178343,0.04950495049504951,0.35192518998490707
0.5217857083937697,0.025,0.1,0.025,0.1,1.0,0.1,0.4207777604460716,0.5371210006968502,0.02,0.08,0.02,0.08,1.0,0.08,0.4057777678966522,0.5508771995191072,0.013529411764705884,0.06,0.013529411764705884,0.06,1.0,0.06,0.38946666687726983,0.5912547451138033,0.022164555192705108,0.14,0.022164555192705108,0.14,1.0,0.14,0.33221110902726647,0.9201925568855714,0.5917659284481103,0.13861386138613863,0.02136202506579774,0.014411822159464708,0.51145,Source_MAIN,operator-disjoint internal,PRIME_NoRisk,42,1002,0.5917659284481103,0.13861386138613863,0.3314851465644223
0.6433062494669533,0.1,0.1,0.1,0.1,1.0,0.1,0.4119999945163727,0.5833572942659568,0.04,0.04,0.04,0.04,1.0,0.04,0.4372444421052933,0.563915159653877,0.02,0.02,0.02,0.02,1.0,0.02,0.4250888873636723,0.5819150274810633,0.014662010808998628,0.08,0.014662010808998628,0.08,1.0,0.08,0.3702222208306193,0.9226252177582532,0.5851317012899896,0.0891089108910891,-0.028733853918374973,-0.019051861965388897,0.49075,Source_MAIN,operator-disjoint internal,PRIME_NoDemand,42,1002,0.5851317012899896,0.0891089108910891,0.36588558742758076
0.3508387877965362,0.0,0.0,0.0,0.0,0.0,0.0,0.6168888783082367,0.4631285633408929,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999450147155,0.5201279425048676,0.0005714285714285714,0.02,0.0005714285714285714,0.02,1.0,0.02,0.39282222051173454,0.5582773864054285,0.008734947799368713,0.09,0.008734947799368713,0.09,1.0,0.09,0.3486222212947905,0.9134271202729721,0.5573520547530202,0.0891089108910891,-0.005240841649065896,-0.002927402443282163,0.49625,Source_MAIN,operator-disjoint internal,Ridge_CommonCore,42,1002,0.5573520547530202,0.0891089108910891,0.3497469737425004
0.46677512048276726,0.0,0.0,0.0,0.0,0.0,0.0,0.5022222138941288,0.5267629944424737,0.0,0.0,0.0,0.0,0.0,0.0,0.413644440472126,0.5207404332154904,0.0,0.0,0.0,0.0,0.0,0.0,0.42211111038923266,0.5298832465540229,0.00043478260869565214,0.01,0.00043478260869565214,0.01,1.0,0.01,0.3965222202986478,0.9144667950386027,0.5288331027760311,0.009900990099009901,-0.019590480093008195,-0.012689376290062749,0.49755,Source_MAIN,operator-disjoint internal,Random,42,1002,0.5288331027760311,0.009900990099009901,0.39754675277093854
0.5255560934051706,0.0,0.0,0.0,0.0,0.0,0.0,0.4407160278745643,0.5515193470711139,0.0016666666666666666,0.04,0.0016666666666666666,0.04,1.0,0.04,0.3816362369337978,0.5509539482067969,0.0008333333333333333,0.02,0.0008333333333333333,0.02,1.0,0.02,0.36745540069686417,0.5994236096654978,0.01184064134217587,0.12,0.01184064134217587,0.12,1.0,0.12,0.2925033101045297,0.9081815922778554,0.5982114534501051,0.1391304347826087,0.029008915173518817,0.020619118143060236,0.50525,External_Public_Stations,zero-shot source-to-external,PRIME_CommonCore_Full,42,1148,0.5982114534501051,0.1391304347826087,0.2907332222390545
0.5491917705660283,0.0,0.0,0.0,0.0,0.0,0.0,0.40496167247386755,0.4722353280003563,0.0,0.0,0.0,0.0,0.0,0.0,0.4804599303135888,0.5078923105079193,0.0028447843949363704,0.06,0.0028447843949363704,0.06,1.0,0.06,0.4056954703832752,0.5465459556936513,0.00931278058141895,0.1,0.00931278058141895,0.1,1.0,0.1,0.3364005226480835,0.904561550815099,0.5533429572377087,0.11304347826086956,0.03251562282189269,0.022979982373611485,0.5057,External_Public_Stations,zero-shot source-to-external,PRIME_NoDirectFusion,42,1148,0.5533429572377087,0.11304347826086956,0.32494834116043014
0.5452313890566285,0.0,0.0,0.0,0.0,0.0,0.0,0.4111620209059233,0.5449791939833346,0.0017391304347826085,0.04,0.0017391304347826085,0.04,1.0,0.04,0.38921672473867586,0.5504834357135513,0.0008695652173913043,0.02,0.0008695652173913043,0.02,1.0,0.02,0.36745540069686417,0.5900279709345857,0.010449479358128072,0.11,0.010449479358128072,0.11,1.0,0.11,0.30252020905923344,0.9079054591841785,0.5971603591862417,0.1391304347826087,0.026704312943083994,0.019168093558547067,0.50465,External_Public_Stations,zero-shot source-to-external,PRIME_DirectOnly,42,1148,0.5971603591862417,0.1391304347826087,0.2913437357976063
0.41782575363277324,0.02,0.1,0.02,0.1,1.0,0.1,0.5361620209059232,0.46106745037008234,0.008,0.04,0.008,0.04,1.0,0.04,0.4498508710801393,0.45476140856099656,0.008912280701754387,0.06,0.008912280701754387,0.06,1.0,0.06,0.44121393728223,0.5055548047876524,0.017350620021351727,0.12,0.017350620021351727,0.12,1.0,0.12,0.3620787456445992,0.8961740905836785,0.5169128769733425,0.10434782608695652,-0.004984428392763144,-0.003975331304941666,0.49835,External_Public_Stations,zero-shot source-to-external,PRIME_NoRisk,42,1148,0.5169128769733425,0.10434782608695652,0.3461536130889258
0.4447325848300645,0.0,0.0,0.0,0.0,0.0,0.0,0.4805940766550522,0.48795708988390724,0.0,0.0,0.0,0.0,0.0,0.0,0.41929407665505214,0.5082112593325223,0.0013695652173913043,0.04,0.0013695652173913043,0.04,1.0,0.04,0.3866275261324042,0.5013621417679415,0.0096304546902373,0.09,0.0096304546902373,0.09,1.0,0.09,0.3745703832752613,0.8988672574230101,0.5174616950800738,0.09565217391304348,0.025455875813763486,0.017881428577308827,0.5047,External_Public_Stations,zero-shot source-to-external,PRIME_NoDemand,42,1148,0.5174616950800738,0.09565217391304348,0.3522820784729585
0.4877274552551244,0.0,0.0,0.0,0.0,0.0,0.0,0.4618519163763066,0.5264648847497472,0.0019047619047619048,0.04,0.0019047619047619048,0.04,1.0,0.04,0.38539512195121944,0.5686996068711899,0.010365526152068968,0.1,0.010365526152068968,0.1,1.0,0.1,0.32879965156794433,0.5954840664490444,0.02182716418322136,0.14,0.02182716418322136,0.14,1.0,0.14,0.2901256097560976,0.9046425079497019,0.5946457418095128,0.1565217391304348,-0.01028738840848016,-0.0069316062748540404,0.4894,External_Public_Stations,zero-shot source-to-external,Ridge_CommonCore,42,1148,0.5946457418095128,0.1565217391304348,0.28869125890016645
0.4023215905127977,0.0,0.0,0.0,0.0,0.0,0.0,0.525780487804878,0.42563740485096146,0.002352941176470588,0.04,0.002352941176470588,0.04,1.0,0.04,0.4818891986062717,0.465166594838077,0.00912644544997486,0.08,0.00912644544997486,0.08,1.0,0.08,0.4222041811846689,0.5141869688754745,0.01301025925665618,0.11,0.01301025925665618,0.11,1.0,0.11,0.3504439024390244,0.8950808309013755,0.5211764538449923,0.11304347826086956,-0.023874415847723963,-0.016165393415202834,0.49105,External_Public_Stations,zero-shot source-to-external,Random,42,1148,0.5211764538449923,0.11304347826086956,0.3397729131949703
0.6572456216069706,0.09107142857142857,0.3,0.09107142857142857,0.3,1.0,0.3,0.25303030303030305,0.8412266340304447,0.7889858388422126,0.88,0.7889858388422126,0.88,1.0,0.88,0.024848484848484897,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.867551474072396,0.5540254047611097,0.0,0.44166225669425907,0.3679518737952694,0.627,External_PaloAlto_Usage,zero-shot demand-head transfer,PRIME_DemandHead,42,33,0.5540254047611097,0.0,0.4053030303030304
