Configuration,VariantJSON,BestEpoch,ValidationSelection,ValidationExactComposite,Validation_NDCG_full,Validation_NDCG_at_10_percent,Validation_TopKAgreement_at_10_percent,Validation_Spearman,Validation_KendallTau,Validation_PairwiseAccuracy,ParameterCount,ModelMemoryMB,ValidationLatency_ms_per_station,TrainingTime_seconds,EligibleWithinQualityTolerance,SelectedDeploymentConfiguration
V9ResidualFull,"{""no_fusion"": true}",2,0.46787167928782636,0.46787167928782636,0.9165414375634249,0.5799331764332775,0.12244897959183673,-0.016346622964585417,-0.011713463321674361,0.4884,246433,0.9400672912597656,0.010158179936347746,13.954701000009663,False,False
SimpleMLP_NoIRE,"{""no_fusion"": true, ""no_ire"": true}",6,0.4569885590099888,0.4569885590099888,0.9152417628307657,0.557549590001813,0.10204081632653061,-0.012606983552643235,-0.008504410065450269,0.493,47649,0.18176651000976562,0.0069213701137827216,4.802336099965032,False,False
NoFeatureGating,"{""no_attention"": true, ""no_fusion"": true}",2,0.4681560034523624,0.4681560034523624,0.9165857005073987,0.5811946052336967,0.12244897959183673,-0.016431930664456317,-0.011726031415367145,0.4878,246375,0.9400672912597656,0.010546319034799995,14.151284000021406,False,False
NoDemandHead,"{""no_dim"": true, ""no_fusion"": true}",3,0.48545071590138594,0.48545071590138594,0.9182221979865863,0.5997433445969029,0.16326530612244897,-0.007908338069558363,-0.005299546173790438,0.4912,246433,0.9400672912597656,0.011470040926854516,14.931679699977394,True,True
NoRiskInput,"{""no_fusion"": true, ""no_risk_input"": true}",6,0.4785647822145543,0.4785647822145543,0.9209155951272311,0.5920057458934284,0.11224489795918367,0.050602744440067786,0.033137873703306224,0.505,246173,0.9390754699707031,0.015036298551526233,14.18825539998943,False,False
DeterministicRisk,"{""deterministic_risk"": true, ""no_fusion"": true}",2,0.47068041697924135,0.47068041697924135,0.9184630134354334,0.5862627341405213,0.12244897959183673,-0.013969495044175285,-0.009949740840120389,0.4916,246433,0.9400672912597656,0.0114470347357392,12.175736200006213,False,False
PointwiseOnly,"{""no_fusion"": true, ""pointwise_rank"": true}",3,0.47780083864406875,0.47780083864406875,0.923207913798644,0.59098652929358,0.12244897959183673,0.020918435781711854,0.013389209147378848,0.5032,246433,0.9400672912597656,0.011056646190922715,12.067442299972754,False,False
