Dataset,Feature,TargetMissingFraction,KSStatistic,KSPValue,WassersteinDistanceRawUnits,BelowSourceRangeFraction,AboveSourceRangeFraction
External_Public_Stations,latitude,0.0,0.4128619886009645,9.992075661186568e-128,19.010944956600365,0.0,0.0
External_Public_Stations,longitude,0.0,0.5367295844197799,6.151642940663036e-221,71.47448802617868,0.0,0.0
External_Public_Stations,abs_latitude,0.0,0.5628619886009645,1.6699130893865864e-244,12.740652126248012,0.0,0.0
External_Public_Stations,latitude_sin,0.0,0.4128619886009645,9.992075661186568e-128,0.28753194186630615,0.0,0.0
External_Public_Stations,latitude_cos,0.0,0.5628619886009645,1.6699130893865864e-244,0.12175377425992864,0.0,0.0
External_Public_Stations,longitude_sin,0.0,0.7354050811085215,1.126e-321,0.6921658209058328,0.0,0.036585365853658534
External_Public_Stations,longitude_cos,0.0,0.4678081085446616,1.778636914235604e-165,0.4612882903214875,0.0,0.0
External_Public_Stations,capacity_kw,0.0,0.7369337979094077,1.117e-321,131.169973694534,0.7369337979094077,0.005226480836236934
External_Public_Stations,log_capacity,0.0,0.7369337979094077,1.117e-321,2.989178153190665,0.7369337979094077,0.005226480836236934
External_Public_Stations,connector_count,0.0,0.3998257839721254,1.4465116926097927e-119,0.7819288367907332,0.3998257839721254,0.02613240418118467
External_Public_Stations,log_connector_count,0.0,0.3998257839721254,1.4465116926097927e-119,0.4280011572502528,0.3998257839721254,0.02613240418118467
External_Public_Stations,availability_hours,0.2735191637630662,0.5048009274699445,6.573315117002704e-153,5.430785551312971,0.050359712230215826,0.0
External_Public_Stations,availability_fraction,0.2735191637630662,0.5048009274699445,6.573315117002704e-153,0.2262827313047071,0.050359712230215826,0.0
External_Public_Stations,capacity_per_connector,0.3998257839721254,0.5152394775036284,2.5671142170982834e-137,96.64225370614191,0.5152394775036284,0.001451378809869376
External_Public_Stations,capacity_x_availability,0.2735191637630662,0.6306954436450839,8.559488076639007e-247,73.13692100561114,0.6306954436450839,0.005995203836930456
External_Public_Stations,geographic_interaction,0.0,0.3608833098737799,6.185464397074374e-97,0.22150685599617967,0.0,0.0
External_PaloAlto_Usage,latitude,0.0,0.5506622516556291,8.05011088241487e-10,24.44004800267911,0.0,0.0
External_PaloAlto_Usage,longitude,0.0,0.9129139072847682,1.3449660030571533e-34,130.2579457701686,0.0,0.0
External_PaloAlto_Usage,abs_latitude,0.0,0.5221854304635761,8.288093452244143e-09,10.933181449157134,0.0,0.0
External_PaloAlto_Usage,latitude_sin,0.0,0.5506622516556291,8.05011088241487e-10,0.37365747235489916,0.0,0.0
External_PaloAlto_Usage,latitude_cos,0.0,0.5221854304635761,8.288093452244143e-09,0.11033514254160535,0.0,0.0
External_PaloAlto_Usage,longitude_sin,0.0,0.7400662251655629,7.686086687349676e-19,0.9456804377254598,0.0,0.0
External_PaloAlto_Usage,longitude_cos,0.0,0.7801324503311259,1.8523468891691215e-21,0.6500200121719113,0.0,0.0
External_PaloAlto_Usage,capacity_kw,1.0,,,,,
External_PaloAlto_Usage,log_capacity,1.0,,,,,
External_PaloAlto_Usage,connector_count,0.0,0.33242022877784466,0.0010211129623099867,0.33242022877784466,0.0,0.0
External_PaloAlto_Usage,log_connector_count,0.0,0.33242022877784466,0.0010211129623099867,0.13478480399874956,0.0,0.0
External_PaloAlto_Usage,availability_hours,1.0,,,,,
External_PaloAlto_Usage,availability_fraction,1.0,,,,,
External_PaloAlto_Usage,capacity_per_connector,1.0,,,,,
External_PaloAlto_Usage,capacity_x_availability,1.0,,,,,
External_PaloAlto_Usage,geographic_interaction,0.0,0.8566225165562914,9.614473586243543e-28,0.44275442614907806,0.0,0.0
