NDCG@10,AP@10,TopKAgreement@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,AP@25,TopKAgreement@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,AP@50,TopKAgreement@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,AP@100,TopKAgreement@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy,Dataset,Protocol,Method,Seed,Stations,NDCG_at_10_percent,TopKAgreement_at_10_percent,Regret_at_10_percent
0.5844075635148699,0.0,0.0,0.0,0.0,0.0,0.0,0.3561324041811847,0.6017163869783885,0.005383022774327122,0.08,0.005383022774327122,0.08,1.0,0.08,0.30508013937282236,0.5961970264970425,0.025601911810052416,0.14,0.025601911810052416,0.14,1.0,0.14,0.2916616724738679,0.6306822844273546,0.1378083333290191,0.35,0.1378083333290191,0.35,1.0,0.35,0.24035052264808365,0.8886614851671287,0.6041626287914375,0.1,0.010497355914283647,0.00962277298727867,0.49966555183946487,External_Public_Stations,state-disjoint target adaptation,SourceZeroShot,42,299,0.6041626287914375,0.1,0.29643379790940766
0.5415455051955801,0.0,0.0,0.0,0.0,0.0,0.0,0.417205574912892,0.5194467756305988,0.0072874493927125505,0.08,0.0072874493927125505,0.08,1.0,0.08,0.39882787456446,0.56673466717463,0.05991257436973472,0.2,0.05991257436973472,0.2,1.0,0.2,0.31243275261324066,0.5644970053462359,0.11034237432709906,0.28,0.11034237432709906,0.28,1.0,0.28,0.2917324041811847,0.8790899656825949,0.5275298267109124,0.13333333333333333,-0.022910265142382123,-0.01514114752864707,0.4846153846153846,External_Public_Stations,state-disjoint target adaptation,ExternalTargetOnly,42,299,0.5275298267109124,0.13333333333333333,0.37638153310104533
0.6172052225702981,0.0,0.0,0.0,0.0,0.0,0.0,0.343904181184669,0.5919839553024563,0.008444444444444444,0.08,0.008444444444444444,0.08,1.0,0.08,0.3342822299651569,0.6036935611645375,0.08903257150250674,0.24,0.08903257150250674,0.24,1.0,0.24,0.2903923344947737,0.6057694348565393,0.15824070031873338,0.37,0.15824070031873338,0.37,1.0,0.37,0.2645648083623694,0.8885640054572144,0.5918105408828805,0.13333333333333333,0.01167594640041424,0.008782605635378738,0.4914715719063545,External_Public_Stations,state-disjoint target adaptation,SourcePlusTargetAdaptation,42,299,0.5918105408828805,0.13333333333333333,0.32433972125435545
0.3753256912531815,0.0,0.0,0.0,0.0,0.0,0.0,0.48398954703832753,0.46332916224915077,0.013111111111111108,0.12,0.013111111111111108,0.12,1.0,0.12,0.37641742160278757,0.4728477049849795,0.011838888888888888,0.1,0.011838888888888888,0.1,1.0,0.1,0.3558944250871083,0.5297381568431244,0.09894262332904752,0.3,0.09894262332904752,0.3,1.0,0.3,0.2868029616724737,0.8514263947166042,0.4436006624588213,0.1,-0.08127893632363715,-0.0587204995115829,0.45936454849498326,External_Public_Stations,state-disjoint target adaptation,Random,42,299,0.4436006624588213,0.1,0.3966080139372823
0.7243164681600648,0.016666666666666666,0.1,0.016666666666666666,0.1,1.0,0.1,0.22668641114982557,0.7153581157051447,0.11252747252747251,0.24,0.11252747252747251,0.24,1.0,0.24,0.21962160278745646,0.6615645874912507,0.15689178352793914,0.28,0.15689178352793914,0.28,1.0,0.28,0.25718710801393724,0.6729068034981059,0.24932999009935972,0.42,0.24932999009935972,0.42,1.0,0.42,0.21012369337979092,0.9052130127321082,0.7139332355981405,0.2857142857142857,0.12096508797701463,0.08553483462714534,0.5375912408759124,External_Public_Stations,state-disjoint target adaptation,SourceZeroShot,123,274,0.7139332355981405,0.2857142857142857,0.21805002488800407
0.4473660440331656,0.0,0.0,0.0,0.0,0.0,0.0,0.4425278745644598,0.4953305648653294,0.005552941176470589,0.08,0.005552941176470589,0.08,1.0,0.08,0.3609581881533101,0.53508035705672,0.056856764244159204,0.24,0.056856764244159204,0.24,1.0,0.24,0.3076606271777003,0.5946615232126413,0.136349652361158,0.37,0.136349652361158,0.37,1.0,0.37,0.2292712543554007,0.8644800546385104,0.5094703876244445,0.10714285714285714,0.060563877337736244,0.04217793462062632,0.5226277372262774,External_Public_Stations,state-disjoint target adaptation,ExternalTargetOnly,123,274,0.5094703876244445,0.10714285714285714,0.342297162767546
0.7254963877741808,0.16666666666666666,0.2,0.16666666666666666,0.2,1.0,0.2,0.23223867595818815,0.6795118037105289,0.10666666666666666,0.16,0.10666666666666666,0.16,1.0,0.16,0.2568599303135889,0.5992063238141452,0.07902792402792402,0.18,0.07902792402792402,0.18,1.0,0.18,0.31450313588850165,0.6455473034576256,0.17899820665698038,0.35,0.17899820665698038,0.35,1.0,0.35,0.22596515679442503,0.899025877639233,0.6567042607643161,0.17857142857142858,0.11365820088561038,0.08138027791816989,0.545985401459854,External_Public_Stations,state-disjoint target adaptation,SourcePlusTargetAdaptation,123,274,0.6567042607643161,0.17857142857142858,0.2785882279741165
0.36234230888453106,0.0,0.0,0.0,0.0,0.0,0.0,0.4945365853658535,0.4179406389897378,0.008705882352941176,0.08,0.008705882352941176,0.08,1.0,0.08,0.4107770034843206,0.4901375949599753,0.02125303153798099,0.14,0.02125303153798099,0.14,1.0,0.14,0.32625644599303133,0.582582774896371,0.1410024626714399,0.38,0.1410024626714399,0.38,1.0,0.38,0.2220649825783973,0.8476340340652482,0.4316623162435255,0.07142857142857142,-0.029641337105135862,-0.021045676193557777,0.48759124087591244,External_Public_Stations,state-disjoint target adaptation,Random,123,274,0.4316623162435255,0.07142857142857142,0.39261510701841723
0.5192663303127683,0.0,0.0,0.0,0.0,0.0,0.0,0.4204425087108013,0.5419806425794967,0.015555555555555553,0.08,0.015555555555555553,0.08,1.0,0.08,0.35821324041811836,0.5888788257216723,0.0638047693047693,0.18,0.0638047693047693,0.18,1.0,0.18,0.28817944250871075,0.6440459221136724,0.18590399771504573,0.45,0.18590399771504573,0.45,1.0,0.45,0.2162402439024389,0.8802694113934038,0.5419806425794967,0.08,0.006137970385849411,0.004908711098547139,0.5080246913580246,External_Public_Stations,state-disjoint target adaptation,SourceZeroShot,456,243,0.5419806425794967,0.08,0.35821324041811836
0.5374725227122967,0.0,0.0,0.0,0.0,0.0,0.0,0.3702735191637631,0.5532097668525134,0.005833333333333333,0.08,0.005833333333333333,0.08,1.0,0.08,0.3354599303135888,0.6068705985447004,0.05729504304328988,0.24,0.05729504304328988,0.24,1.0,0.24,0.261740418118467,0.6396466361025439,0.14714365593498205,0.39,0.14714365593498205,0.39,1.0,0.39,0.21751637630661996,0.878758037785618,0.5532097668525134,0.08,0.020433715167586405,0.01559066545168083,0.5078189300411523,External_Public_Stations,state-disjoint target adaptation,ExternalTargetOnly,456,243,0.5532097668525134,0.08,0.3354599303135888
