Dataset,Protocol,Method,Seeds,Stations,NDCG_full,NDCG_full_SD,NDCG_full_CI95_L,NDCG_full_CI95_U,NDCG_at_10_percent,NDCG_at_10_percent_SD,NDCG_at_10_percent_CI95_L,NDCG_at_10_percent_CI95_U,TopKAgreement_at_10_percent,TopKAgreement_at_10_percent_SD,TopKAgreement_at_10_percent_CI95_L,TopKAgreement_at_10_percent_CI95_U,Spearman,Spearman_SD,Spearman_CI95_L,Spearman_CI95_U,KendallTau,KendallTau_SD,KendallTau_CI95_L,KendallTau_CI95_U,PairwiseAccuracy,PairwiseAccuracy_SD,PairwiseAccuracy_CI95_L,PairwiseAccuracy_CI95_U,Regret_at_10_percent,Regret_at_10_percent_SD,Regret_at_10_percent_CI95_L,Regret_at_10_percent_CI95_U,NDCG@10,NDCG@10_SD,NDCG@10_CI95_L,NDCG@10_CI95_U,NDCG@25,NDCG@25_SD,NDCG@25_CI95_L,NDCG@25_CI95_U,NDCG@50,NDCG@50_SD,NDCG@50_CI95_L,NDCG@50_CI95_U,NDCG@100,NDCG@100_SD,NDCG@100_CI95_L,NDCG@100_CI95_U
External_PaloAlto_Usage,zero-shot demand-head transfer,PRIME_DemandHead,5,33,0.867551474072396,0.0,0.867551474072396,0.867551474072396,0.5540254047611097,0.0,0.5540254047611097,0.5540254047611097,0.0,0.0,0.0,0.0,0.44166225669425907,0.0,0.44166225669425907,0.44166225669425907,0.3679518737952694,0.0,0.3679518737952694,0.3679518737952694,0.6206,0.009476286192385715,0.6088336365982392,0.6323663634017609,0.4053030303030304,0.0,0.4053030303030304,0.4053030303030304,0.6572456216069706,0.0,0.6572456216069706,0.6572456216069706,0.8412266340304446,1.2412670766236366e-16,0.8412266340304445,0.8412266340304447,0.867551474072396,0.0,0.867551474072396,0.867551474072396,0.867551474072396,0.0,0.867551474072396,0.867551474072396
External_PaloAlto_Usage,zero-shot demand-head transfer,Random,5,33,0.8414083447953512,0.04796969462233285,0.7818461019779717,0.9009705876127307,0.5653793220533234,0.15417353907238598,0.37394758911148,0.7568110549951668,0.15,0.13693063937629155,0.0,0.3200218451645642,0.031098482427346065,0.10141979336729597,-0.09483082370209048,0.1570277885567826,0.018286012835299775,0.0594710419440275,-0.05555703888226529,0.09212906455286485,0.5018,0.030285309970347014,0.46419582093537853,0.5394041790646215,0.4280303030303031,0.09975147032017952,0.30417249356584464,0.5518881124947616,0.5981266735881905,0.09946480082464647,0.47462481131571865,0.7216285358606623,0.7251371568725946,0.05954183140099334,0.6512062084348627,0.7990681053103266,0.8414083447953512,0.04796969462233285,0.7818461019779717,0.9009705876127307,0.8414083447953512,0.04796969462233285,0.7818461019779717,0.9009705876127307
External_PaloAlto_Usage,zero-shot demand-head transfer,Ridge_SourcePriority,5,33,0.7758526751190349,0.0,0.7758526751190349,0.7758526751190349,0.31596213549192936,0.0,0.31596213549192936,0.31596213549192936,0.0,0.0,0.0,0.0,0.03166894526191673,0.0,0.03166894526191673,0.03166894526191673,0.02910027655870246,3.878959614448864e-18,0.029100276558702457,0.029100276558702464,0.5204,0.012700393694685229,0.5046303783862952,0.5361696216137047,0.6590909090909092,0.0,0.6590909090909092,0.6590909090909092,0.39518863404049076,0.0,0.39518863404049076,0.39518863404049076,0.6999747635010348,0.0,0.6999747635010348,0.6999747635010348,0.7758526751190349,0.0,0.7758526751190349,0.7758526751190349,0.7758526751190349,0.0,0.7758526751190349,0.7758526751190349
External_PaloAlto_Usage,zero-shot demand-head transfer,Source_DirectPriorityHead,5,33,0.8683505940309317,0.010693717127604854,0.8550725904666098,0.8816285975952537,0.6199664765917478,0.06587280352647708,0.5381745879921711,0.7017583651913244,0.0,0.0,0.0,0.0,0.2765610905210719,0.19393761215706284,0.035755739608041875,0.5173664414341019,0.22032044224677025,0.16935331896006037,0.010040523117743949,0.43060036137579655,0.5793999999999999,0.05995248118301694,0.5049591625120591,0.6538408374879408,0.39242424242424245,0.036783404200940055,0.346751613696558,0.4380968711519269,0.6271970092625324,0.0366980934628183,0.581630307807034,0.6727637107180309,0.8283677517350609,0.027633559203944762,0.7940561561292904,0.8626793473408315,0.8683505940309317,0.010693717127604854,0.8550725904666098,0.8816285975952537,0.8683505940309317,0.010693717127604854,0.8550725904666098,0.8816285975952537
External_PaloAlto_Usage,zero-shot demand-head transfer,Source_RiskHead_NegativeControl,5,33,0.867551474072396,0.0,0.867551474072396,0.867551474072396,0.5540254047611097,0.0,0.5540254047611097,0.5540254047611097,0.0,0.0,0.0,0.0,0.44166225669425907,0.0,0.44166225669425907,0.44166225669425907,0.3679518737952694,0.0,0.3679518737952694,0.3679518737952694,0.6206,0.009476286192385715,0.6088336365982392,0.6323663634017609,0.4053030303030304,0.0,0.4053030303030304,0.4053030303030304,0.6572456216069706,0.0,0.6572456216069706,0.6572456216069706,0.8412266340304446,1.2412670766236366e-16,0.8412266340304445,0.8412266340304447,0.867551474072396,0.0,0.867551474072396,0.867551474072396,0.867551474072396,0.0,0.867551474072396,0.867551474072396
External_Public_Stations,zero-shot source-to-external,PRIME_CommonCore_Full,5,1148,0.9060297914566962,0.0013067352417156393,0.9044072653518738,0.9076523175615185,0.5858065259543999,0.014740549683578762,0.5675037160985662,0.6041093358102335,0.1269565217391304,0.014550609157114359,0.10888955419680746,0.14502348928145337,0.024237619703365892,0.006781700083215812,0.015817026863421332,0.03265821254331045,0.01692319695708165,0.004752456963898413,0.011022242241996215,0.022824151672167087,0.50893,0.003376869852392892,0.5047370622776641,0.5131229377223359,0.29795952128465364,0.01563154386032414,0.27855039603694604,0.31736864653236124,0.506993003455817,0.0346940618862426,0.4639146358602161,0.5500713710514179,0.5272968839815849,0.028087969924094316,0.49242106294420684,0.562172705018963,0.5397838748268744,0.01282663475617993,0.5238575042320166,0.5557102454217322,0.582949078475973,0.01996886419439558,0.5581544587207717,0.6077436982311742
External_Public_Stations,zero-shot source-to-external,PRIME_DirectOnly,5,1148,0.9064977811500944,0.0013994799128394723,0.9047600973261123,0.9082354649740765,0.5819598411763631,0.017852938847445165,0.5597924897473571,0.6041271926053692,0.11478260869565218,0.016726420923192476,0.09401401401652187,0.1355512033747825,0.020329937863881237,0.006188985870393681,0.012645296923221602,0.02801457880454087,0.014370838310234899,0.004362020920012887,0.008954673974443226,0.01978700264602657,0.5056800000000001,0.003562232446093337,0.5012569042184527,0.5101030957815476,0.30489992425390067,0.0171028485702759,0.28366393291745834,0.326135915590343,0.5316459878710926,0.021901893583860348,0.5044511951155232,0.5588407806266621,0.5475290395356147,0.013627172395173078,0.5306086701752121,0.5644494088960174,0.5458624661374223,0.01287342246864151,0.5298780009244427,0.5618469313504019,0.5740124713760737,0.019947595399846908,0.5492442603173487,0.5987806824347987
External_Public_Stations,zero-shot source-to-external,PRIME_NoDemand,5,1148,0.8988672574230101,0.0,0.8988672574230101,0.8988672574230101,0.5174616950800738,0.0,0.5174616950800738,0.5174616950800738,0.09565217391304348,0.0,0.09565217391304348,0.09565217391304348,0.025455875813763483,3.878959614448864e-18,0.02545587581376348,0.025455875813763486,0.017881428577308827,0.0,0.017881428577308827,0.017881428577308827,0.50915,0.0033171900759528337,0.5050311645074905,0.5132688354925095,0.3522820784729585,0.0,0.3522820784729585,0.3522820784729585,0.4447325848300645,0.0,0.4447325848300645,0.4447325848300645,0.4879570898839073,6.206335383118183e-17,0.48795708988390724,0.48795708988390735,0.5082112593325223,0.0,0.5082112593325223,0.5082112593325223,0.5013621417679415,0.0,0.5013621417679415,0.5013621417679415
External_Public_Stations,zero-shot source-to-external,PRIME_NoDirectFusion,5,1148,0.9045615508150991,1.2412670766236366e-16,0.904561550815099,0.9045615508150993,0.5533429572377087,0.0,0.5533429572377087,0.5533429572377087,0.11304347826086955,1.5515838457795457e-17,0.11304347826086954,0.11304347826086956,0.03251562282189269,0.0,0.03251562282189269,0.03251562282189269,0.022979982373611485,0.0,0.022979982373611485,0.022979982373611485,0.5118799999999999,0.003540233043176658,0.507484220085036,0.5162757799149638,0.32494834116043014,0.0,0.32494834116043014,0.32494834116043014,0.5491917705660283,0.0,0.5491917705660283,0.5491917705660283,0.4722353280003563,0.0,0.4722353280003563,0.4722353280003563,0.5078923105079193,0.0,0.5078923105079193,0.5078923105079193,0.5465459556936513,0.0,0.5465459556936513,0.5465459556936513
External_Public_Stations,zero-shot source-to-external,PRIME_NoRisk,5,1148,0.8961740905836784,1.2412670766236366e-16,0.8961740905836783,0.8961740905836785,0.5169128769733425,0.0,0.5169128769733425,0.5169128769733425,0.10434782608695652,0.0,0.10434782608695652,0.10434782608695652,-0.004984428392763144,0.0,-0.004984428392763144,-0.004984428392763144,-0.003975331304941666,0.0,-0.003975331304941666,-0.003975331304941666,0.49671000000000004,0.0018287290668658387,0.494439332955204,0.4989806670447961,0.3461536130889258,0.0,0.3461536130889258,0.3461536130889258,0.4178257536327733,6.206335383118183e-17,0.41782575363277324,0.41782575363277336,0.46106745037008234,0.0,0.46106745037008234,0.46106745037008234,0.45476140856099656,0.0,0.45476140856099656,0.45476140856099656,0.5055548047876524,0.0,0.5055548047876524,0.5055548047876524
