Dataset,Method,Metric,BootstrapRepetitions,Mean,Std,CI95_L,CI95_U
Source_MAIN,PRIME_CommonCore_Full,NDCG_full,1000,0.9173813265557575,0.004136012626176496,0.9084115179474409,0.9248845062888132
Source_MAIN,PRIME_CommonCore_Full,NDCG_at_10_percent,1000,0.5686061617917167,0.023913557397221022,0.5193917547528014,0.6139190698879038
Source_MAIN,PRIME_CommonCore_Full,TopKAgreement_at_10_percent,1000,0.0615940594059406,0.027979968791576677,0.009900990099009901,0.1188118811881188
Source_MAIN,PRIME_CommonCore_Full,Spearman,1000,0.02455513998843397,0.031859629862075814,-0.03895692685941121,0.08763425909292548
Source_MAIN,PRIME_CommonCore_Full,KendallTau,1000,0.016269256601655843,0.021247181331131244,-0.02655966233869001,0.05844831158291573
Source_MAIN,PRIME_CommonCore_Full,PairwiseAccuracy,1000,0.5084135197523609,0.015182338130569543,0.4776209478766381,0.5375770366033271
Source_MAIN,PRIME_CommonCore_Full,Regret_at_10_percent,1000,0.353360194818587,0.021205372130392704,0.31405004991753266,0.39802007525421607
Source_MAIN,PRIME_NoDirectFusion,NDCG_full,1000,0.9175130620606633,0.003829060301407625,0.9105339652463281,0.9254262453197463
Source_MAIN,PRIME_NoDirectFusion,NDCG_at_10_percent,1000,0.5556284257404527,0.022598719077952457,0.5104551862996979,0.602464554977018
Source_MAIN,PRIME_NoDirectFusion,TopKAgreement_at_10_percent,1000,0.058891089108910895,0.022983703591666807,0.019801980198019802,0.10891089108910891
Source_MAIN,PRIME_NoDirectFusion,Spearman,1000,-0.01184601852585827,0.03079167858490462,-0.06880033837347108,0.050429743734516495
Source_MAIN,PRIME_NoDirectFusion,KendallTau,1000,-0.008649717992575844,0.02043623489156084,-0.04690640782301974,0.03306161031119503
Source_MAIN,PRIME_NoDirectFusion,PairwiseAccuracy,1000,0.4953699608147514,0.014948197601231653,0.4678706786946782,0.5258457331119841
Source_MAIN,PRIME_NoDirectFusion,Regret_at_10_percent,1000,0.3761572820094995,0.020138293603593337,0.3362560508256354,0.4160874549742087
Source_MAIN,PRIME_DirectOnly,NDCG_full,1000,0.9183243959334655,0.004269997855579662,0.9096539267002659,0.9267421372368675
Source_MAIN,PRIME_DirectOnly,NDCG_at_10_percent,1000,0.5680356432568056,0.02460516698241618,0.520313837646174,0.6173323797991234
Source_MAIN,PRIME_DirectOnly,TopKAgreement_at_10_percent,1000,0.042782178217821785,0.02546802484948344,0.0,0.09900990099009901
Source_MAIN,PRIME_DirectOnly,Spearman,1000,0.027612592621559264,0.03147606842102959,-0.03273184368877847,0.0873164589300189
Source_MAIN,PRIME_DirectOnly,KendallTau,1000,0.018055793152525527,0.020980721855126862,-0.022264609126684817,0.05808752714872807
Source_MAIN,PRIME_DirectOnly,PairwiseAccuracy,1000,0.5096243344804661,0.01504040308416187,0.4811776332626038,0.5408999142581363
Source_MAIN,PRIME_DirectOnly,Regret_at_10_percent,1000,0.3572272908261949,0.021841055818064906,0.313463967230798,0.4003151790598536
Source_MAIN,PRIME_NoRisk,NDCG_full,1000,0.9203746353622312,0.004581718066591172,0.9120885693244775,0.9296571050973345
Source_MAIN,PRIME_NoRisk,NDCG_at_10_percent,1000,0.5919099519352373,0.026078548623771392,0.5433152191579678,0.6441775943252303
Source_MAIN,PRIME_NoRisk,TopKAgreement_at_10_percent,1000,0.1303069306930693,0.03288576430439229,0.06930693069306931,0.19801980198019803
Source_MAIN,PRIME_NoRisk,Spearman,1000,0.021326173509252006,0.0325138581321065,-0.042534997657010735,0.08616755466091647
Source_MAIN,PRIME_NoRisk,KendallTau,1000,0.01442730878868145,0.02168668147961906,-0.02797738995133057,0.05805788108931233
Source_MAIN,PRIME_NoRisk,PairwiseAccuracy,1000,0.5072121359498257,0.01505355056572311,0.4791711121825084,0.5361503968709761
Source_MAIN,PRIME_NoRisk,Regret_at_10_percent,1000,0.33194239678905146,0.020998269119617535,0.2889936709997825,0.37058800524377294
Source_MAIN,PRIME_NoDemand,NDCG_full,1000,0.9218674270953148,0.004876031107356513,0.911998897118668,0.9309747245806876
Source_MAIN,PRIME_NoDemand,NDCG_at_10_percent,1000,0.5794243530509644,0.026790817324500855,0.5244898539810302,0.6304036510830507
Source_MAIN,PRIME_NoDemand,TopKAgreement_at_10_percent,1000,0.08985148514851488,0.028104571126200645,0.039603960396039604,0.1485148514851485
Source_MAIN,PRIME_NoDemand,Spearman,1000,-0.028617471890219896,0.030768462514078988,-0.08788868323397861,0.0335436244537015
Source_MAIN,PRIME_NoDemand,KendallTau,1000,-0.018951914173145235,0.020472072136619366,-0.05863678550927607,0.0228952560143011
Source_MAIN,PRIME_NoDemand,PairwiseAccuracy,1000,0.49041556831004984,0.015162149463179736,0.4610231271995978,0.520342048266975
Source_MAIN,PRIME_NoDemand,Regret_at_10_percent,1000,0.36879587348329257,0.021030260478504172,0.32677915272312147,0.411089380373164
Source_MAIN,Ridge_CommonCore,NDCG_full,1000,0.9140091189095229,0.004046204337387577,0.9064052418183527,0.9226751362018325
Source_MAIN,Ridge_CommonCore,NDCG_at_10_percent,1000,0.5593857033459669,0.023823002928601712,0.5125079396173825,0.6088988342018279
Source_MAIN,Ridge_CommonCore,TopKAgreement_at_10_percent,1000,0.08632673267326735,0.028102238692616993,0.039603960396039604,0.13886138613861365
Source_MAIN,Ridge_CommonCore,Spearman,1000,-0.0049223451692361345,0.031527673546981,-0.06849337635297194,0.05511449795006477
Source_MAIN,Ridge_CommonCore,KendallTau,1000,-0.0027090199415834722,0.020881914817857037,-0.04471969523476016,0.036819389075682545
Source_MAIN,Ridge_CommonCore,PairwiseAccuracy,1000,0.4988081556250297,0.015093983841707303,0.4703756256838695,0.5286565119359372
Source_MAIN,Ridge_CommonCore,Regret_at_10_percent,1000,0.3491021555522918,0.020935686499675848,0.3080585827428552,0.39238558526261536
Source_MAIN,Random,NDCG_full,1000,0.9211462746247934,0.0039821796594412045,0.91301127107892,0.9289542142244259
Source_MAIN,Random,NDCG_at_10_percent,1000,0.5889106124252196,0.023427898999828823,0.540813007620572,0.6333053933827801
Source_MAIN,Random,TopKAgreement_at_10_percent,1000,0.052693069306930705,0.021932923971243832,0.009900990099009901,0.09900990099009901
Source_MAIN,Random,Spearman,1000,0.02282553493462306,0.031264557324379216,-0.03803785578388498,0.08279355905134705
Source_MAIN,Random,KendallTau,1000,0.014736871594255433,0.020705895749967677,-0.02593351466935314,0.05469890996623343
Source_MAIN,Random,PairwiseAccuracy,1000,0.5077827679840689,0.014994843994731909,0.48018796992481205,0.5388121146022704
Source_MAIN,Random,Regret_at_10_percent,1000,0.34699422366555666,0.021012601839363022,0.3076754666145633,0.39014493897557256
External_Public_Stations,PRIME_CommonCore_Full,NDCG_full,1000,0.9066743924871594,0.004662192615833188,0.8976183739265088,0.9157133342394675
External_Public_Stations,PRIME_CommonCore_Full,NDCG_at_10_percent,1000,0.5903232076252396,0.026685488206280677,0.538610503848633,0.6407519116159461
External_Public_Stations,PRIME_CommonCore_Full,TopKAgreement_at_10_percent,1000,0.12727826086956523,0.02917451238610369,0.06956521739130435,0.1826086956521739
External_Public_Stations,PRIME_CommonCore_Full,Spearman,1000,0.02345530310791241,0.02889192047371337,-0.032461530050515865,0.08057025621897772
External_Public_Stations,PRIME_CommonCore_Full,KendallTau,1000,0.016749188544732774,0.019694851803335196,-0.02114785737667205,0.056306306311445425
External_Public_Stations,PRIME_CommonCore_Full,PairwiseAccuracy,1000,0.5090264997876691,0.015291212675464837,0.478689760362841,0.5392038880084522
External_Public_Stations,PRIME_CommonCore_Full,Regret_at_10_percent,1000,0.295333068019997,0.021348668308429505,0.2550616951976974,0.3378089531889108
External_Public_Stations,PRIME_NoDirectFusion,NDCG_full,1000,0.9046285918906147,0.0056144992819959555,0.8936292273231722,0.9146614149883642
External_Public_Stations,PRIME_NoDirectFusion,NDCG_at_10_percent,1000,0.5561641214870043,0.029775079846574723,0.499019691885654,0.6160962078697877
External_Public_Stations,PRIME_NoDirectFusion,TopKAgreement_at_10_percent,1000,0.10668695652173914,0.02717221337766703,0.05217391304347826,0.16521739130434782
External_Public_Stations,PRIME_NoDirectFusion,Spearman,1000,0.033536818522029097,0.030171203286832496,-0.02366127579378893,0.09525523923302857
External_Public_Stations,PRIME_NoDirectFusion,KendallTau,1000,0.023704215309900748,0.020481351935956512,-0.01493385317586493,0.06587280590415785
External_Public_Stations,PRIME_NoDirectFusion,PairwiseAccuracy,1000,0.5118206211092949,0.01600669814944842,0.48130538729925404,0.5444466666666666
External_Public_Stations,PRIME_NoDirectFusion,Regret_at_10_percent,1000,0.32182044144826544,0.021777445769351495,0.2792649750037873,0.3641815217391303
External_Public_Stations,PRIME_DirectOnly,NDCG_full,1000,0.9080940599120519,0.004461867503639685,0.8991286545308987,0.9163006614143742
External_Public_Stations,PRIME_DirectOnly,NDCG_at_10_percent,1000,0.6038726312145636,0.02598680256936195,0.5511386349202094,0.6560736706409268
External_Public_Stations,PRIME_DirectOnly,TopKAgreement_at_10_percent,1000,0.12876521739130434,0.029052196424256726,0.0782608695652174,0.19130434782608696
External_Public_Stations,PRIME_DirectOnly,Spearman,1000,0.021440980199551155,0.02979522001056001,-0.035828522479814835,0.08343067008568908
External_Public_Stations,PRIME_DirectOnly,KendallTau,1000,0.015118230696811882,0.020389323551093443,-0.024016054779983934,0.05735703656339219
External_Public_Stations,PRIME_DirectOnly,PairwiseAccuracy,1000,0.5086454829086886,0.014900676425963611,0.4802066831068852,0.5380545000700493
External_Public_Stations,PRIME_DirectOnly,Regret_at_10_percent,1000,0.2872394181184669,0.021329031084155278,0.2459227124678078,0.32864157324647786
External_Public_Stations,PRIME_NoRisk,NDCG_full,1000,0.8973866499993307,0.006357220427176957,0.8839384291500342,0.9088965853455028
External_Public_Stations,PRIME_NoRisk,NDCG_at_10_percent,1000,0.5194431915338132,0.03276928009815847,0.45661308451960064,0.5813556085609379
External_Public_Stations,PRIME_NoRisk,TopKAgreement_at_10_percent,1000,0.11030434782608696,0.0281694431092722,0.06086956521739131,0.16521739130434782
External_Public_Stations,PRIME_NoRisk,Spearman,1000,-0.00439196026668364,0.02871075772422642,-0.061086257230166495,0.049889360387075775
External_Public_Stations,PRIME_NoRisk,KendallTau,1000,-0.003566189404314415,0.019691416513868992,-0.043357381827194987,0.03373572159895213
External_Public_Stations,PRIME_NoRisk,PairwiseAccuracy,1000,0.4985413650167219,0.015349846397882283,0.4693630364444063,0.528054800496661
External_Public_Stations,PRIME_NoRisk,Regret_at_10_percent,1000,0.34736662308741095,0.02271216012694271,0.3033393235873351,0.3904943531283139
External_Public_Stations,PRIME_NoDemand,NDCG_full,1000,0.8982985070047904,0.005785836888481206,0.8867935774538673,0.9087716956558093
External_Public_Stations,PRIME_NoDemand,NDCG_at_10_percent,1000,0.5115202636930606,0.02959335037699091,0.4550731631752013,0.567802231902818
External_Public_Stations,PRIME_NoDemand,TopKAgreement_at_10_percent,1000,0.09235652173913043,0.027278858498810482,0.043478260869565216,0.14782608695652175
External_Public_Stations,PRIME_NoDemand,Spearman,1000,0.023710437531754017,0.03044716394664711,-0.03297505933109385,0.08125968881437597
External_Public_Stations,PRIME_NoDemand,KendallTau,1000,0.016693931775588863,0.02085584524444251,-0.022915265916761143,0.056144089581282114
External_Public_Stations,PRIME_NoDemand,PairwiseAccuracy,1000,0.5082376097980192,0.015613616127561805,0.4795450452302229,0.5384687332977017
