NDCG_full,NDCG_at_10_percent,Precision_at_10,Precision_at_10_percent,Spearman,KendallTau,PairwiseAccuracy,Method,IsOracleUpperBound,NDCG@10,AP@10,TopKAgreement@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,AP@25,TopKAgreement@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,AP@50,TopKAgreement@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,AP@100,TopKAgreement@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG@10pct,P@10pct
0.9219038803141638,0.5897192995332418,0.0,0.1188118811881188,0.029895713352736983,0.02042792028327919,0.5045,PRIME-EV,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9206372939832086,0.5874065937843277,0.0,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.5004166666666666,AHP_WeightedSum,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9195678691406116,0.580223235367126,0.0,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.49675,TOPSIS,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9222505761389737,0.6050127459830328,0.0,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.5066666666666667,VIKOR,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9211960430219706,0.5811134399048773,0.0,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.4994166666666667,MultiObjective_WeightedSum,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.920068628755172,0.5732973842718158,0.0,0.09900990099009901,0.012459859128842492,0.009588439267380856,0.50225,Pareto_Balanced,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9134883967281697,0.5716729766090367,0.0,0.1188118811881188,-0.004357464510194231,-0.003478154249658653,0.4975,Random,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999999998533746,0.9999999994595548,1.0,1.0,0.9999999999999998,1.0,1.0,Oracle_Label_UpperBound,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9132569278923878,0.5448272844160282,0.1,0.0891089108910891,0.013354608586524428,0.009490988097726083,0.511,GradientBoostedRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9157454832248837,0.5601344053807855,0.1,0.10891089108910891,0.020782103409980622,0.014201964311428932,0.5145,RandomForestRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9225684484438826,0.5960823819464771,0.0,0.07920792079207921,-0.03158502878186024,-0.02085495700698943,0.494,RidgeRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9180248136333296,0.5673832308609779,0.0,0.04950495049504951,-0.011138999252198464,-0.007504629922525278,0.49325,ShallowTreeRanker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9182549588160314,0.5694873024278252,0.0,0.10891089108910891,0.006371654255242176,0.004539759562807478,0.5046666666666667,TwoStage_RiskUsage,False,0.5876157024598382,0.0,0.0,0.0,0.0,0.0,0.0,0.4151111036539078,0.49259939334541886,0.0,0.0,0.0,0.0,0.0,0.0,0.512266661375761,0.5128888709124771,0.0005405405405405405,0.02,0.0005405405405405405,0.02,1.0,0.02,0.4514444410055876,0.5673748037900456,0.00859052825372531,0.11,0.00859052825372531,0.11,1.0,0.11,0.36317777518182986,0.5694873024278252,0.10891089108910891
