Variant,TestTotalLoss,TestRiskLoss,TestDemandLoss,TestRankingLoss,DeltaPred_percent,NDCG_full,Precision_at_10,SSI,OperatorRiskBalance,GeographicEquityScore,Latency_ms_per_station,TrainingTime_seconds,SSI_normalized,ORB_normalized,Latency_normalized,OperatorBalanceScore,LatencyScore,StabilityScore,CompositeDeploymentScore,ParameterCount,ModelMemoryMB,ParetoEfficient
NoIRE_Conv,21.505102157592773,8.998896598815918,0.0907869637012481,2.4957938194274902,-22.427127850006467,0.9235907049211608,0.1,0.1327960767088747,0.0119794961065053,0.9881981752599616,0.0052859000007932,93.41845450003166,0.0,1.0,0.0,0.0,1.0,1.0,0.7470495438149904,47649.0,0.1820259094238281,True
LowDimension,10.67450714111328,-0.4496726095676422,0.0939375981688499,2.219199657440185,-103.876296905272,0.9245112672987432,0.1,0.1774441181965308,0.0040790559723973,0.9496202524872488,0.0147385666690145,111.46618709998438,0.6923347958596411,0.0,0.6738767375726201,1.0,0.3261232624273799,0.3076652041403589,0.6449292768493958,229317.0,0.8747749328613281,True
NoRiskToRanker,94.39762115478516,83.9439697265625,0.0905118361115455,2.085300207138061,623.6192519156094,0.9225357630459764,0.0,0.1511555859881316,0.0092638907954096,0.980650579910271,0.0157536333349222,262.25298950000433,0.2846917061849557,0.6562716424656134,0.7462404246938658,0.3437283575343866,0.2537595753061342,0.7153082938150443,0.5964391375669046,246173.0,0.9390754699707031,False
PointwiseRanking,22.634462356567383,10.52551555633545,0.0922269076108932,2.4162557125091557,-9.267268107046116,0.9222483337513786,0.0,0.1630258857812103,0.0077758254483342,0.9642500409873128,0.0193131933338008,122.96638299996266,0.4687584941157534,0.4679194340043237,1.0,0.5320805659956763,0.0,0.5312415058842466,0.5334551035110213,246433.0,0.940326690673828,False
Full,23.66988754272461,11.600571632385254,0.0936234071850776,2.4082460403442383,0.0,0.9219038803141638,0.0,0.1643587391093217,0.0095765236765146,0.9806430534021736,0.0174882466671988,163.91263239999537,0.4894263824728269,0.6958432202255962,0.8699002991327086,0.3041567797744038,0.1300997008672914,0.5105736175271731,0.5003919837257546,246433.0,0.940326690673828,False
NoAttention,22.512645721435547,11.483197212219238,0.0935800075531005,2.20027494430542,-1.0117985887623178,0.9214512885023975,0.0,0.1754756654056995,0.0093001248314976,0.9822495859588032,0.0153145933329748,156.77180980000412,0.6618109852804839,0.6608579737930997,0.7149414426647149,0.3391420262069002,0.285058557335285,0.3381890147195161,0.4888163189243377,246375.0,0.940326690673828,False
DeterministicRisk,11.053548812866213,0.120265357196331,0.0947459191083908,2.18097186088562,-98.96328068216124,0.9127758742018406,0.0,0.1765354262002096,0.0102244075387716,0.9753742770652468,0.0170387666672468,179.75942290003877,0.6782441646290137,0.7778492668836724,0.8378570539191543,0.2221507331163276,0.1621429460808456,0.3217558353709863,0.4283365923728586,246433.0,0.940326690673828,False
NoDIM,13.116480827331545,1.6857597827911377,0.0,2.286144256591797,-85.46830410811963,0.9166157472305324,0.0,0.1972851674705468,0.0091432984918355,0.9859010156944248,0.0169238733360543,130.6704168000142,1.0,0.6410076443177811,0.8296663553670625,0.3589923556822189,0.1703336446329375,0.0,0.3702900717707484,246433.0,0.9400672912597656,False
