epoch,train_total,train_risk,train_demand,train_rank,validation_total,validation_ndcg
1,10.177297592163086,-0.2352699488401413,0.08187820762395859,0.69307941198349,10.17178726196289,0.5752796883988632
2,10.160067558288574,-0.2489164173603058,0.0829932689666748,0.6928256750106812,10.163156509399414,0.5764494843279047
3,10.167210578918457,-0.24959173798561096,0.08092030882835388,0.6933745741844177,10.154838562011719,0.5668870995665599
4,10.14784049987793,-0.2641870081424713,0.08945505321025848,0.6929424405097961,10.14609432220459,0.5546588651410403
5,10.140765190124512,-0.2688644230365753,0.0784715786576271,0.6929290294647217,10.137264251708984,0.5527199417714034
6,10.120722770690918,-0.27790704369544983,0.08942433446645737,0.6920496821403503,10.128518104553223,0.5489391008309333
7,10.120340347290039,-0.2956177294254303,0.08226419985294342,0.6933003664016724,10.119070053100586,0.546625801194411
8,10.09701919555664,-0.3038455843925476,0.08826290816068649,0.6922141313552856,10.109880447387695,0.5461725429421771
9,10.104684829711914,-0.3041498363018036,0.08001502603292465,0.6928554773330688,10.100415229797363,0.5446194324087905
10,10.113956451416016,-0.32041656970977783,0.08124600350856781,0.6945416331291199,10.089946746826172,0.5444645865551311
