Method,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy,Seed
ShallowTreeRanker,0.33926608865986746,0.0,0.0,0.0,0.0,0.614222213998437,0.45973899417509967,0.0,0.0,0.0,0.0,0.4484888853132725,0.48944304710090825,0.0009523809523809524,0.02,1.0,0.02,0.42195555321872236,0.5509223321230755,0.008978782814161604,0.1,1.0,0.1,0.3501666666194796,0.9124404604495695,0.5505029132669906,0.09900990099009901,0.0067306982206345204,0.005290355048201778,0.5038,42
TwoStage_RiskUsage,0.5017133952552838,0.0,0.0,0.0,0.0,0.4873333219438791,0.5406029167744427,0.0,0.0,0.0,0.0,0.4140444396436215,0.5824604089061176,0.0041764069264069266,0.06,1.0,0.06,0.35502222321927546,0.6111792601445823,0.006691765672421881,0.08,1.0,0.08,0.31477777738124124,0.9193116842858136,0.6078554556962112,0.07920792079207921,-0.022669131081818415,-0.014804604921524694,0.4888,42
PRIME-EV,0.5213155458553169,0.0,0.0,0.0,0.0,0.4556666523218155,0.4677342787692366,0.0,0.0,0.0,0.0,0.5072888836264611,0.5021389869301608,0.0005714285714285714,0.02,1.0,0.02,0.4442222219705582,0.52186757584932,0.003367492835802695,0.06,1.0,0.06,0.4023666666448116,0.912645739049253,0.5254223995458165,0.06930693069306931,-0.036433857419604386,-0.024422908698549767,0.4796,123
AHP_WeightedSum,0.5213507022226754,0.0,0.0,0.0,0.0,0.479888878762722,0.5208715872257913,0.0,0.0,0.0,0.0,0.45635555207729345,0.5664347873050647,0.006464642308536317,0.08,1.0,0.08,0.3806666652858257,0.5863692569445822,0.02772602048660525,0.15,1.0,0.15,0.3437999992072581,0.9206372939832086,0.5874065937843277,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.5068,123
TOPSIS,0.503611021604819,0.0,0.0,0.0,0.0,0.48599999099969865,0.5163330768829781,0.0,0.0,0.0,0.0,0.4495555514097214,0.5507803473212608,0.0049858836815358555,0.06,1.0,0.06,0.392622219324112,0.5772377064150053,0.025856114745877477,0.15,1.0,0.15,0.35034444265067577,0.9195678691406116,0.580223235367126,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.4978,123
VIKOR,0.5722909962279509,0.0,0.0,0.0,0.0,0.4025555521249772,0.541819469681756,0.0,0.0,0.0,0.0,0.4289777743816376,0.5480674013954823,0.006871794871794872,0.06,1.0,0.06,0.40799999743700033,0.603300473499996,0.03638644322552047,0.17,1.0,0.17,0.32595555439591406,0.9222505761389737,0.6050127459830328,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.505,123
MultiObjective_WeightedSum,0.544304055330737,0.0,0.0,0.0,0.0,0.4479999914765358,0.5596526302648895,0.0,0.0,0.0,0.0,0.4072888863086701,0.5501336722643424,0.00662331455879843,0.08,1.0,0.08,0.4088666655123234,0.5790846588812679,0.023980053145054137,0.13,1.0,0.13,0.3561111100018024,0.9211960430219706,0.5811134399048773,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.5062,123
Pareto_Balanced,0.6848820907734696,0.0,0.0,0.0,0.0,0.30411109924316404,0.6264324687964751,0.005,0.04,1.0,0.04,0.364266660809517,0.5865672250716496,0.0033,0.04,1.0,0.04,0.3945999984443188,0.5897440893951117,0.024692980173707725,0.1,1.0,0.1,0.36245555467903606,0.9244554604893458,0.5867010517590685,0.09900990099009901,0.018689291492634517,0.01253184434158917,0.5114,123
Random,0.6799779573703669,0.0,0.0,0.0,0.0,0.34955553859472277,0.624104800931815,0.005714285714285714,0.04,1.0,0.04,0.3912444370985031,0.5982629101647938,0.010714285714285714,0.04,1.0,0.04,0.3907555520534516,0.6020705503341672,0.04691626076930794,0.13,1.0,0.13,0.35452222138643263,0.9261215512398848,0.599659832685921,0.12871287128712872,0.004273846843743015,0.0028595496498914795,0.4924,123
GradientBoostedRanker,0.6773300621545539,0.0,0.0,0.0,0.0,0.3504444286227226,0.6168336964263603,0.0052,0.08,1.0,0.08,0.39399999007582664,0.5948390791290379,0.02706666666666667,0.08,1.0,0.08,0.3914666610211134,0.6192920445383696,0.027126102078026966,0.13,1.0,0.13,0.33367777425795786,0.9268174810354008,0.6212172663112339,0.12871287128712872,-0.0009025276544678016,-0.0003194202670454314,0.4906,123
RandomForestRanker,0.5967441090393999,0.0,0.0,0.0,0.0,0.3814444303512573,0.5835474472945774,0.007857142857142858,0.08,1.0,0.08,0.3908444346487523,0.6084198676433047,0.011236772486772486,0.08,1.0,0.08,0.3456222171336413,0.6059978176709985,0.02615824554397209,0.15,1.0,0.15,0.33507777441292996,0.9242318198679028,0.6060189446623787,0.1485148514851485,0.021046858890111573,0.013938558481850653,0.5096,123
RidgeRanker,0.5282029246750425,0.0,0.0,0.0,0.0,0.399333319067955,0.5434453880656155,0.0,0.0,0.0,0.0,0.39519999206066136,0.576104574925753,0.010660633484162896,0.08,1.0,0.08,0.3569333277642728,0.5806861133043918,0.02333305683946993,0.12,1.0,0.12,0.3466111068427562,0.9177350808978791,0.5789878218101912,0.1188118811881188,-0.028784898578043262,-0.0194980178849195,0.4882,123
ShallowTreeRanker,0.5727367242034164,0.0,0.0,0.0,0.0,0.4507777750492096,0.549439237738059,0.0,0.0,0.0,0.0,0.43702221930027013,0.5600573284196355,0.00041666666666666664,0.02,1.0,0.02,0.40235555537045004,0.5753449077115388,0.017078565797353795,0.09,1.0,0.09,0.36459999855607744,0.9203163713983661,0.5750306441859686,0.0891089108910891,-0.014704915466839762,-0.011056152534481013,0.5004,123
TwoStage_RiskUsage,0.614245516511541,0.0,0.0,0.0,0.0,0.40299998559057715,0.5901064244808252,0.0,0.0,0.0,0.0,0.39804443851113325,0.5947076099990014,0.010869565217391304,0.04,1.0,0.04,0.37144444324076176,0.5995520813812372,0.01678939056112969,0.08,1.0,0.08,0.34592222008854145,0.9241143119850125,0.5962844677934447,0.07920792079207921,0.004597319579666561,0.0021491521095136938,0.5116,123
PRIME-EV,0.5106582835302407,0.0,0.0,0.0,0.0,0.47622221112251284,0.534363579160028,0.0,0.0,0.0,0.0,0.4229333245754242,0.5565114588908856,0.00043478260869565214,0.02,1.0,0.02,0.38666666075587275,0.5820521553338621,0.0029181706072471353,0.06,1.0,0.06,0.34382221929728984,0.9201777270945155,0.5807233132979465,0.050505050505050504,0.04652762906301755,0.030835971446142287,0.504,456
AHP_WeightedSum,0.4665270440076342,0.0,0.0,0.0,0.0,0.46733333468437194,0.4953211363638142,0.0,0.0,0.0,0.0,0.43857777655124663,0.5451192804594355,0.0036410256410256414,0.06,1.0,0.06,0.3778222212195397,0.5692113460504759,0.010926835412935584,0.1,1.0,0.1,0.34564444318413734,0.9142096358208197,0.5723255024649401,0.09090909090909091,-0.026331335983160068,-0.016796962665615763,0.4828,456
TOPSIS,0.4578481834462044,0.0,0.0,0.0,0.0,0.508333332836628,0.5413105684793604,0.0,0.0,0.0,0.0,0.392888885140419,0.517615852334645,0.0036717948717948723,0.06,1.0,0.06,0.42708888493478303,0.5436975687477321,0.014801109581055903,0.11,1.0,0.11,0.3795222209766507,0.9143540894838165,0.5404924525871176,0.09090909090909091,-0.022006451311564135,-0.014542833722121838,0.479,456
VIKOR,0.4784423925532875,0.0,0.0,0.0,0.0,0.4806666687130928,0.5124710277182942,0.002352941176470588,0.04,1.0,0.04,0.43746666222810743,0.5272019145668834,0.004134728301483932,0.06,1.0,0.06,0.4153999942541123,0.5572441720180563,0.014159761575743215,0.1,1.0,0.1,0.36456666562706236,0.9143705389125499,0.5560745361059269,0.09090909090909091,-0.038480829586997535,-0.024999030390664822,0.4734,456
MultiObjective_WeightedSum,0.40824891748768205,0.0,0.0,0.0,0.0,0.5188888907432556,0.5062267543931716,0.003076923076923077,0.04,1.0,0.04,0.40440000295639034,0.5332098303174105,0.0037885923600209314,0.06,1.0,0.06,0.38313333213329315,0.5605844769546398,0.009473997742518716,0.1,1.0,0.1,0.3499222197663039,0.9133720649879966,0.5574156878748668,0.08080808080808081,-0.026245301690509485,-0.016714695185926203,0.4836,456
Pareto_Balanced,0.41866391215546533,0.0,0.0,0.0,0.0,0.5198888897895813,0.46588415145623796,0.0,0.0,0.0,0.0,0.47022222161293026,0.5214194786349977,0.0,0.0,0.0,0.0,0.39786666318774233,0.5791013746126513,0.008597172480103152,0.1,1.0,0.1,0.32732221975922593,0.9133879226739152,0.5771681911543424,0.09090909090909091,-0.027337744980601226,-0.017580686866221575,0.4926,456
Random,0.4795087498598129,0.0,0.0,0.0,0.0,0.5418888852000237,0.4968139433508998,0.002105263157894737,0.04,1.0,0.04,0.4798222190141678,0.5599414299206147,0.004054507751555248,0.06,1.0,0.06,0.3810222193598748,0.5710321288580862,0.004982551920934462,0.06,1.0,0.06,0.3565111077576876,0.9167717497816995,0.5702902063845418,0.06060606060606061,-0.05573607499643678,-0.037647655392934555,0.4748,456
GradientBoostedRanker,0.5228021009771848,0.0,0.0,0.0,0.0,0.4373333305120468,0.49440406440136725,0.0,0.0,0.0,0.0,0.4728888875246048,0.5333806500386414,0.0010526315789473684,0.02,1.0,0.02,0.40868888676166537,0.5587916938525096,0.01960651499033652,0.12,1.0,0.12,0.3654666666686535,0.9170476165947179,0.5563153647668228,0.12121212121212122,0.01232348619687122,0.007115875179274414,0.4952,456
RandomForestRanker,0.4542621718688948,0.0,0.0,0.0,0.0,0.49744444489479067,0.5013918789556714,0.0,0.0,0.0,0.0,0.43328888714313507,0.5089498741831042,0.0,0.0,0.0,0.0,0.42244444325566294,0.561080384939327,0.00910952572344504,0.08,1.0,0.08,0.35227777682244776,0.9156092064827034,0.5584177269227346,0.08080808080808081,0.02593997261927567,0.01760729734055792,0.4958,456
RidgeRanker,0.5356954763650721,0.0,0.0,0.0,0.0,0.44666665941476824,0.4920212396288832,0.0,0.0,0.0,0.0,0.4878666651248932,0.511223053555466,0.0,0.0,0.0,0.0,0.4414222201704979,0.5471069844410062,0.008590078458276884,0.09,1.0,0.09,0.37774444445967675,0.9158079102568082,0.5450303871319035,0.09090909090909091,-0.015411370830002971,-0.01015797705466833,0.478,456
ShallowTreeRanker,0.5107893871627255,0.0,0.0,0.0,0.0,0.4989999935030937,0.5291790669837297,0.0,0.0,0.0,0.0,0.4401333251595497,0.551164400629216,0.0008333333333333333,0.02,1.0,0.02,0.397555552572012,0.5798353183675719,0.012215556902547964,0.11,1.0,0.11,0.34852221943438055,0.9183351771455338,0.5767821891539318,0.09090909090909091,-0.007493788372209277,-0.004485463623196508,0.4928,456
TwoStage_RiskUsage,0.5945485274335006,0.0,0.0,0.0,0.0,0.3578888967633247,0.5538731204100997,0.0,0.0,0.0,0.0,0.41626666665077205,0.547332348214686,0.0,0.0,0.0,0.0,0.41024444401264193,0.5823448194314684,0.014147621174081294,0.1,1.0,0.1,0.3497666651755572,0.9206832187089049,0.5845657200998831,0.10101010101010101,0.02707445585987691,0.018207849942291705,0.4932,456
PRIME-EV,0.4623441435101676,0.0,0.0,0.0,0.0,0.52822220697999,0.5058682691384978,0.0,0.0,0.0,0.0,0.44848888486623767,0.5179780491200318,0.0007142857142857143,0.02,1.0,0.02,0.42391111150383953,0.5515386069988298,0.007200504905194535,0.09,1.0,0.09,0.37057777814567083,0.9135736789979222,0.5545441214191955,0.09900990099009901,-0.04824111639705583,-0.03227921929821602,0.4786,789
AHP_WeightedSum,0.5213507022226754,0.0,0.0,0.0,0.0,0.479888878762722,0.5208715872257913,0.0,0.0,0.0,0.0,0.45635555207729345,0.5664347873050647,0.006464642308536317,0.08,1.0,0.08,0.3806666652858257,0.5863692569445822,0.02772602048660525,0.15,1.0,0.15,0.3437999992072581,0.9206372939832086,0.5874065937843277,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.52,789
TOPSIS,0.503611021604819,0.0,0.0,0.0,0.0,0.48599999099969865,0.5163330768829781,0.0,0.0,0.0,0.0,0.4495555514097214,0.5507803473212608,0.0049858836815358555,0.06,1.0,0.06,0.392622219324112,0.5772377064150053,0.025856114745877477,0.15,1.0,0.15,0.35034444265067577,0.9195678691406116,0.580223235367126,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.5178,789
VIKOR,0.5722909962279509,0.0,0.0,0.0,0.0,0.4025555521249772,0.541819469681756,0.0,0.0,0.0,0.0,0.4289777743816376,0.5480674013954823,0.006871794871794872,0.06,1.0,0.06,0.40799999743700033,0.603300473499996,0.03638644322552047,0.17,1.0,0.17,0.32595555439591406,0.9222505761389737,0.6050127459830328,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.5182,789
MultiObjective_WeightedSum,0.544304055330737,0.0,0.0,0.0,0.0,0.4479999914765358,0.5596526302648895,0.0,0.0,0.0,0.0,0.4072888863086701,0.5501336722643424,0.00662331455879843,0.08,1.0,0.08,0.4088666655123234,0.5790846588812679,0.023980053145054137,0.13,1.0,0.13,0.3561111100018024,0.9211960430219706,0.5811134399048773,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.5166,789
Pareto_Balanced,0.6848820907734696,0.0,0.0,0.0,0.0,0.30411109924316404,0.6264324687964751,0.005,0.04,1.0,0.04,0.364266660809517,0.5865672250716496,0.0033,0.04,1.0,0.04,0.3945999984443188,0.5897440893951117,0.024692980173707725,0.1,1.0,0.1,0.36245555467903606,0.9244554604893458,0.5867010517590685,0.09900990099009901,0.018689291492634517,0.01253184434158917,0.514,789
Random,0.49340178311241034,0.0,0.0,0.0,0.0,0.4753333315253258,0.5540706242128329,0.0018181818181818182,0.04,1.0,0.04,0.3876888889074326,0.5496311055882924,0.001709090909090909,0.04,1.0,0.04,0.39240000098943717,0.5721448751884854,0.00923597397763314,0.1,1.0,0.1,0.3534555552154779,0.917475723866203,0.5729129883935411,0.09900990099009901,-0.013054387700695658,-0.008602594934181555,0.4982,789
GradientBoostedRanker,0.6938730576794839,0.0,0.0,0.0,0.0,0.29544444382190704,0.6219397843248581,0.0,0.0,0.0,0.0,0.3742666679620743,0.6103731139460187,0.0075,0.04,1.0,0.04,0.3663333335518837,0.5979451116775449,0.011998018031625791,0.1,1.0,0.1,0.35694444548338644,0.9260744964088218,0.5962806892491339,0.09900990099009901,0.020938306662389036,0.014603956257586101,0.5096,789
RandomForestRanker,0.6146733017615877,0.0,0.0,0.0,0.0,0.36688887476921084,0.5747638722268827,0.0,0.0,0.0,0.0,0.4076444384455681,0.6060587542026734,0.00597394540942928,0.06,1.0,0.06,0.3521777741611004,0.6129411484411154,0.014347234911889275,0.12,1.0,0.12,0.3291999972239136,0.9245409781977527,0.6162478414082831,0.12871287128712872,0.021090343655168334,0.01359932370133317,0.5032,789
RidgeRanker,0.5801378124065918,0.0,0.0,0.0,0.0,0.4266666598618031,0.5846229227432174,0.0,0.0,0.0,0.0,0.39315555274486547,0.5785096199783465,0.009709338280766852,0.06,1.0,0.06,0.38371111214160925,0.5979046946251236,0.01253603787556078,0.07,1.0,0.07,0.3416777778416872,0.9230575171153509,0.599147415833874,0.06930693069306931,0.02229362692491624,0.014792631929271138,0.5006,789
ShallowTreeRanker,0.6700618680124262,0.025,0.1,1.0,0.1,0.34822221100330353,0.5990547572700963,0.01,0.04,1.0,0.04,0.40911110639572146,0.5753490880525785,0.006333333333333333,0.04,1.0,0.04,0.40688888773322107,0.5958907248454525,0.027394565246848215,0.1,1.0,0.1,0.35454444251954553,0.9245934694457597,0.595481362237639,0.09900990099009901,0.015524805461373678,0.011585590143975201,0.5056,789
TwoStage_RiskUsage,0.6589368992522778,0.0,0.0,0.0,0.0,0.3288888812065125,0.6358388654906447,0.0017391304347826085,0.04,1.0,0.04,0.345244442820549,0.5876961676899696,0.00912008281573499,0.08,1.0,0.08,0.3913777772337199,0.6139078908748428,0.011042265300769138,0.08,1.0,0.08,0.3349111113324761,0.9257836419264734,0.6145175208737035,0.0891089108910891,0.01385899601224588,0.008371117083946097,0.5058,789
PRIME-EV,0.6526553338935684,0.0,0.0,0.0,0.0,0.3784444347023964,0.6273641166910475,0.02,0.04,1.0,0.04,0.3713333299756051,0.5934958180794936,0.012242424242424242,0.06,1.0,0.06,0.3892444454133511,0.5950106520737579,0.009960418134836741,0.07,1.0,0.07,0.3594111107289791,0.9265337000473287,0.5954528715535357,0.06930693069306931,0.028103253563869984,0.018596052468484787,0.5076,2025
AHP_WeightedSum,0.5213507022226754,0.0,0.0,0.0,0.0,0.479888878762722,0.5208715872257913,0.0,0.0,0.0,0.0,0.45635555207729345,0.5664347873050647,0.006464642308536317,0.08,1.0,0.08,0.3806666652858257,0.5863692569445822,0.02772602048660525,0.15,1.0,0.15,0.3437999992072581,0.9206372939832086,0.5874065937843277,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.5034,2025
TOPSIS,0.503611021604819,0.0,0.0,0.0,0.0,0.48599999099969865,0.5163330768829781,0.0,0.0,0.0,0.0,0.4495555514097214,0.5507803473212608,0.0049858836815358555,0.06,1.0,0.06,0.392622219324112,0.5772377064150053,0.025856114745877477,0.15,1.0,0.15,0.35034444265067577,0.9195678691406116,0.580223235367126,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.4938,2025
VIKOR,0.5722909962279509,0.0,0.0,0.0,0.0,0.4025555521249772,0.541819469681756,0.0,0.0,0.0,0.0,0.4289777743816376,0.5480674013954823,0.006871794871794872,0.06,1.0,0.06,0.40799999743700033,0.603300473499996,0.03638644322552047,0.17,1.0,0.17,0.32595555439591406,0.9222505761389737,0.6050127459830328,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.5008,2025
MultiObjective_WeightedSum,0.544304055330737,0.0,0.0,0.0,0.0,0.4479999914765358,0.5596526302648895,0.0,0.0,0.0,0.0,0.4072888863086701,0.5501336722643424,0.00662331455879843,0.08,1.0,0.08,0.4088666655123234,0.5790846588812679,0.023980053145054137,0.13,1.0,0.13,0.3561111100018024,0.9211960430219706,0.5811134399048773,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.5012,2025
Pareto_Balanced,0.6848820907734696,0.0,0.0,0.0,0.0,0.30411109924316404,0.6264324687964751,0.005,0.04,1.0,0.04,0.364266660809517,0.5865672250716496,0.0033,0.04,1.0,0.04,0.3945999984443188,0.5897440893951117,0.024692980173707725,0.1,1.0,0.1,0.36245555467903606,0.9244554604893458,0.5867010517590685,0.09900990099009901,0.018689291492634517,0.01253184434158917,0.505,2025
Random,0.6511460062530235,0.0,0.0,0.0,0.0,0.35766665339469916,0.6148328405141011,0.0019047619047619048,0.04,1.0,0.04,0.3777333241701126,0.5946542497801193,0.0018614718614718615,0.04,1.0,0.04,0.37984444275498397,0.6193936102642352,0.03039420735481229,0.13,1.0,0.13,0.3267777774482965,0.9264555182213758,0.6177723232624788,0.12871287128712872,0.019876217523964776,0.01321618794921931,0.5058,2025
GradientBoostedRanker,0.6773300621545539,0.0,0.0,0.0,0.0,0.3504444286227226,0.6168336964263603,0.0052,0.08,1.0,0.08,0.39399999007582664,0.5948390791290379,0.02706666666666667,0.08,1.0,0.08,0.3914666610211134,0.6192920445383696,0.027126102078026966,0.13,1.0,0.13,0.33367777425795786,0.9268174810354008,0.6212172663112339,0.12871287128712872,-0.0009025276544678016,-0.0003194202670454314,0.5012,2025
RandomForestRanker,0.5991676760619087,0.0,0.0,0.0,0.0,0.4206666499376297,0.5880490793260671,0.0,0.0,0.0,0.0,0.4033333224058152,0.6135000780254685,0.007739569609134827,0.1,1.0,0.1,0.34882221676409253,0.6293240339415586,0.020928350984784374,0.15,1.0,0.15,0.31331110920757055,0.9261553812547109,0.6314192348580966,0.1485148514851485,0.01048582833391872,0.006215978478305625,0.4996,2025
RidgeRanker,0.5282029246750425,0.0,0.0,0.0,0.0,0.399333319067955,0.5434453880656155,0.0,0.0,0.0,0.0,0.39519999206066136,0.576104574925753,0.010660633484162896,0.08,1.0,0.08,0.3569333277642728,0.5806861133043918,0.02333305683946993,0.12,1.0,0.12,0.3466111068427562,0.9177350808978791,0.5789878218101912,0.1188118811881188,-0.028784898578043262,-0.0194980178849195,0.4832,2025
ShallowTreeRanker,0.5727367242034164,0.0,0.0,0.0,0.0,0.4507777750492096,0.549439237738059,0.0,0.0,0.0,0.0,0.43702221930027013,0.5600573284196355,0.00041666666666666664,0.02,1.0,0.02,0.40235555537045004,0.5753449077115388,0.017078565797353795,0.09,1.0,0.09,0.36459999855607744,0.9203163713983661,0.5750306441859686,0.0891089108910891,-0.014704915466839762,-0.011056152534481013,0.4972,2025
TwoStage_RiskUsage,0.5262101832286271,0.0,0.0,0.0,0.0,0.4471110999584198,0.583401279651223,0.005741626794258373,0.08,1.0,0.08,0.3580444359779358,0.58933379614302,0.017024783947182966,0.1,1.0,0.1,0.3533777741342783,0.6094524642691368,0.01840193229503115,0.09,1.0,0.09,0.3199999972060322,0.9205160018681791,0.6102165183269859,0.0891089108910891,-0.01744285993185136,-0.011268581209307177,0.4896,2025
