Control,Comparator,Metric,MeanDifference,PairedP,CohenDz,NSeeds,HolmP
PRIME-EV,Random,NDCG@100,-0.017009215224073126,0.4139149369020657,-0.40732979936500646,5,1.0
PRIME-EV,VIKOR,NDCG@100,-0.02442376106784223,0.26294672486556664,-0.5821047603284061,5,1.0
PRIME-EV,Pareto_Balanced,NDCG@100,-0.01795009430285375,0.30019334719971696,-0.5317445463166052,5,1.0
PRIME-EV,RidgeRanker,NDCG@100,-0.013699841401409608,0.48180233688457785,-0.3464228250839436,5,1.0
PRIME-EV,TwoStage_RiskUsage,NDCG@100,-0.03362185108448763,0.09235031894497633,-0.9851810306728654,5,0.4617515947248817
