Variant,TestTotalLoss,TestRiskLoss,TestDemandLoss,TestRankingLoss,DeltaPred_percent,NDCG_full,Precision_at_10,SSI,OperatorRiskBalance,GeographicEquityScore,Latency_ms_per_station,TrainingTime_seconds,SSI_normalized,ORB_normalized,Latency_normalized,OperatorBalanceScore,LatencyScore,StabilityScore,CompositeDeploymentScore
NoIRE_Conv,9.692919731140137,-0.7216665148735046,0.08632463216781616,0.6931547522544861,-187.06067405463972,0.9223934642026578,0.0,0.13394370451555787,4.220604751026258e-05,0.9505668473895033,0.0011513000004924833,0.46894829999655485,0.0,0.5084475326129401,0.0,0.49155246738705993,1.0,1.0,0.8605298286941407
Full,10.160260200500488,-0.25139859318733215,0.0861378014087677,0.6929620504379272,0.0,0.9210236336463845,0.0,0.14148344059757278,4.178285507805413e-06,0.8465564490363654,0.020558520000001104,1.5982794000010472,0.0955983563205149,0.0,0.9562405150705685,1.0,0.04375948492943149,0.9044016436794851,0.7417115023488232
PointwiseRanking,0.26303741335868835,-0.4080398380756378,0.08617164939641953,0.043589528650045395,-62.307921723647326,0.9237859842143974,0.0,0.1484701010753808,1.5074014299898408e-05,0.9323003192610176,0.020536253333557398,4.55716160000884,0.1841841172254851,0.1456805798879643,0.9551433827358202,0.8543194201120357,0.04485661726417978,0.8158158827745149,0.7003710231284537
LowDimension,10.012919425964355,-0.4025896489620209,0.0880625993013382,0.6931931376457214,-60.13997446995647,0.9255911272033094,0.0,0.15169912041176284,2.435445821902249e-05,0.9338408310034355,0.02059946666607478,4.8305911000061315,0.2251257281422943,0.2697641063370493,0.9582580560196434,0.7302358936629507,0.04174194398035658,0.7748742718577057,0.6568298515199796
DeterministicRisk,10.503074645996094,0.08490059524774551,0.08676206320524216,0.6933881044387817,133.7713034883018,0.9193564309629888,0.0,0.17533823274740915,1.671910285949707e-05,0.9334359231240849,0.020450593333225697,5.267657199990936,0.5248524373509105,0.16767612143478652,0.9509227080157828,0.8323238785652135,0.049077291984217175,0.4751475626490895,0.5937996776138948
NoRiskToRanker,9.858293533325195,-0.5530149340629578,0.08605749160051346,0.692939817905426,-119.97534475196476,0.9168863155253655,0.0,0.17603451207486845,2.2917985916137695e-05,0.9820390073163536,0.020678893333145727,6.618949600000633,0.5336807515678816,0.250557853862307,0.9621715993829991,0.749442146137693,0.03782840061700088,0.46631924843211836,0.5803317430165473
NoDIM,9.997888565063477,-0.40974074602127075,0.0,0.6938419342041016,-62.984499844634534,0.9149150148784803,0.0,0.21281259277066825,5.280971436150139e-06,0.9151399998866184,0.021446633333107458,4.132731100005913,1.0,0.014743385095280089,1.0,0.9852566149047199,0.0,0.0,0.4750991536978346
NoAttention,9.74271011352539,-0.6744213700294495,0.08672723174095154,0.6933190822601318,-168.26775148265153,0.9207097797841819,0.0,0.15949615804934467,7.897019531810656e-05,0.8464942048491272,0.018572553333554728,5.0564213000034215,0.3239864805895892,1.0,0.858387149772306,0.0,0.141612850227694,0.6760135194104109,0.44275017708094383
