HeldOutRegion,N_train,N_validation,N_test,TrainPairs,ValidationPairs,TestPairs,NDCG_full,NDCG_at_10_percent,Precision_at_10,Precision_at_10_percent,Spearman,KendallTau,PairwiseAccuracy,Risk_MSE,Risk_NLL,MeanSigma,Demand_MSE,SSI
Americas,2412,602,1986,36180,6020,19860,0.9205335482895802,0.529632073227484,0.0,0.05025125628140704,-0.01161459176586993,-0.007563669064732847,0.49521651560926483,0.08465000241994858,-0.6934793591499329,0.35849303007125854,0.08671890944242477,0.16958854593358239
Asia_Oceania,2628,657,1715,39420,6570,17150,0.9273370461032898,0.583618097166178,0.0,0.11627906976744186,-0.009838491074752256,-0.006309152164892788,0.5015743440233236,0.08708974719047546,-0.7159318923950195,0.29412949085235596,0.08651438355445862,0.12597484814354712
Europe_Africa,2980,721,1299,44700,7210,12990,0.9260356509166954,0.6022921327617479,0.0,0.09230769230769231,0.027573912598735893,0.018856171214125434,0.5147036181678214,0.08450492471456528,-0.3495846390724182,0.6348211169242859,0.08693180978298187,0.18606152997401404
