epoch,train_total,train_risk,train_demand,train_rank,validation_total,validation_ndcg
1,10.178374290466309,-0.2352699488401413,0.08187820762395859,0.6931512355804443,10.176115036010742,0.5716156041442485
2,10.16482162475586,-0.2488705813884735,0.08299153298139572,0.6931396126747131,10.166448593139648,0.5739010840293481
3,10.167333602905273,-0.24959242343902588,0.08090579509735107,0.693382978439331,10.156876564025879,0.5644675155035322
4,10.154040336608887,-0.2641749978065491,0.08943933248519897,0.6933552026748657,10.147104263305664,0.5592688788202715
5,10.147115707397461,-0.26878413558006287,0.07844771444797516,0.6933473348617554,10.137075424194336,0.5511995657495949
6,10.132043838500977,-0.2776950001716614,0.08940859884023666,0.6927905082702637,10.127372741699219,0.550955467932578
7,10.117071151733398,-0.29524049162864685,0.08223768323659897,0.693057656288147,10.117484092712402,0.5488366802754658
8,10.110794067382812,-0.30321261286735535,0.08826221525669098,0.6930903196334839,10.107441902160645,0.5478347569891393
9,10.115903854370117,-0.3032515347003937,0.0800023227930069,0.6935436725616455,10.097214698791504,0.5400096647213821
10,10.098392486572266,-0.31924617290496826,0.08126157522201538,0.6934257745742798,10.086526870727539,0.5426275790867762
11,10.078352928161621,-0.3295831084251404,0.08474065363407135,0.692732572555542,10.075382232666016,0.536721498389334
12,10.066556930541992,-0.34346652030944824,0.08139053732156754,0.6929163336753845,10.064254760742188,0.5461812029326287
13,10.062405586242676,-0.35636836290359497,0.08431484550237656,0.6934607028961182,10.052563667297363,0.5510396588267374
14,10.054749488830566,-0.3512974679470062,0.09206382185220718,0.6925089359283447,10.04055118560791,0.5555463518878193
15,10.03946590423584,-0.3778291642665863,0.08069691061973572,0.6934103965759277,10.02822494506836,0.5489712951052201
16,10.018458366394043,-0.3940471410751343,0.08713753521442413,0.6930052042007446,10.015851020812988,0.550594972344086
17,10.007946968078613,-0.39566570520401,0.08932375907897949,0.6923831701278687,10.003045082092285,0.5427071307383884
18,9.991631507873535,-0.417777955532074,0.08555462956428528,0.6928198933601379,9.989392280578613,0.5471909041124374
19,9.96859073638916,-0.43037843704223633,0.08810200542211533,0.6920899152755737,9.974693298339844,0.5468372187826208
20,9.95571517944336,-0.4541274309158325,0.08945281058549881,0.6927968263626099,9.958314895629883,0.5510610439682104
21,9.96834945678711,-0.44675374031066895,0.08335481584072113,0.6932287812232971,9.940071105957031,0.5565113614220664
22,9.934125900268555,-0.4849281907081604,0.08741403371095657,0.6934381127357483,9.919510841369629,0.5394888300269802
23,9.916509628295898,-0.49023202061653137,0.07934994250535965,0.6927248239517212,9.8965482711792,0.5451766226810691
24,9.875020980834961,-0.5283946990966797,0.08690334856510162,0.6924023032188416,9.870967864990234,0.5542710186696242
25,9.863022804260254,-0.5444616675376892,0.08469860255718231,0.6927030086517334,9.84203052520752,0.5471431953525802
26,9.867765426635742,-0.5671647787094116,0.09017615020275116,0.6944596767425537,9.810705184936523,0.5377629540665814
27,9.800776481628418,-0.6137622594833374,0.08264816552400589,0.6932006478309631,9.777745246887207,0.5378273949566229
28,9.777999877929688,-0.6194268465042114,0.08794737607240677,0.6919891238212585,9.74565601348877,0.5404090887505095
29,9.755012512207031,-0.6599603295326233,0.08058224618434906,0.6932570934295654,9.717960357666016,0.5455775002989359
30,9.734834671020508,-0.6733315587043762,0.09149468690156937,0.6926577687263489,9.70359992980957,0.541021196791238
31,9.661511421203613,-0.7358083128929138,0.0858013704419136,0.6920106410980225,9.715557098388672,0.5351262367463125
32,9.72390079498291,-0.662125289440155,0.09776253998279572,0.6910982131958008,9.744214057922363,0.5364275052789296
33,9.776637077331543,-0.6737772822380066,0.08986462652683258,0.6954960823059082,9.748350143432617,0.5359004869666041
34,9.843446731567383,-0.5819756984710693,0.08820641040802002,0.6938520669937134,9.728208541870117,0.5349560050895146
35,9.74484920501709,-0.6485731601715088,0.08967117220163345,0.691699206829071,9.708117485046387,0.531050177930185
36,9.707456588745117,-0.6680868864059448,0.0782821998000145,0.6906591653823853,9.697731018066406,0.5283133038935082
37,9.745203971862793,-0.6664819121360779,0.08589057624340057,0.6929671764373779,9.69624137878418,0.5274542665880295
38,9.716958999633789,-0.6872849464416504,0.08652821183204651,0.6924625635147095,9.699795722961426,0.5376680687321256
39,9.695230484008789,-0.7142343521118164,0.08978743106126785,0.6927671432495117,9.705221176147461,0.5349873694254579
40,9.68320083618164,-0.7121973037719727,0.08752334862947464,0.6918595433235168,9.710490226745605,0.5392822845323869
41,9.709067344665527,-0.7099353671073914,0.08365792036056519,0.6934847831726074,9.714128494262695,0.5333237005304099
42,9.656510353088379,-0.7318263649940491,0.09004906564950943,0.6913551092147827,9.71556282043457,0.5399794662275503
